10th(%),12th(%),Diploma Marks ,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
94.08,83.33,0,7.43,66.83,0,449,36,33,27,47,50,47,0,57, iWave Systems Technologies Pvt. Ltd
70,61.83,0,7.02,62.7,0,440,38,27,27,60,35,53,45,37,Revature/Mindtree Ltd./Wipro Ltd.
95.68,87.5,0,8.34,75.9,0,586,62,87,33,67,55,67,45,57,Intellipaat Software Solutions/Techmahindra Ltd./Poornam Infovision Pvt. Ltd./Infosys Ltd.
90,80,0,7.22,64.7,0,523,53,60,40,60,35,53,0,74,Techmahindra Ltd./TCS Ltd./Wipro Ltd./Infosys Ltd./Mindtree Ltd./Revature/Atos Syntel
94.72,83.5,0,8.83,80.8,0,521,53,67,60,33,35,27,0,65,Techmahindra Ltd./Poornam Infovision Pvt. Ltd. /Capgemini
96,82.83,0,7.21,64.6,0,491,47,40,13,87,20,47,2,58,None
86,68,0,7.18,64.3,0,515,56,67,33,67,20,53,24,38,Infosys Ltd./Atos Syntel
76.16,62.83,0,7,62.5,0,433,38,40,27,47,20,20,14,12,Atos Syntel
75.57,0.71,0,7.39,66.4,0,472,44,60,33,40,45,33,10,64,Poornam Infovision Pvt. Ltd./Intellipaat Software Solutions/Revature/Wipro Ltd./Capgemini
70.3,78.64,0,6.4,56.5,0,361,31,47,13,33,25,20,0,47,TCS Ltd./Wipro Ltd.
95.68,81.83,0,8.55,78,0,470,38,33,27,53,65,67,45,27,iWave Systems Technologies/HCL Technologies/Persistent /Capgemini/Mindtree Ltd./HashedIn by Deloitte/Hexaware/Clarivate Analytics
82.56,69.5,0,6.41,56.6,0,482,49,53,47,47,45,40,0,43,Upskillz
81.76,75.833,0,6.7,59.5,0,434,38,40,33,40,0,33,0,19,HMW Communication/Kodnest Technology
83.84,73.5,0,7.28,65.3,0,506,51,53,40,60,45,40,45,33,None
79.68,57.67,0,7.05,63,0,473,44,33,27,73,65,40,10,49,Skolar/Teachnook/HMW Communicaiton
91.2,73.83,0,7.22,64.7,0,528,51,60,27,67,40,67,35,62,Robosoft Technologies/Infosys Ltd./Capgemini
93.6,77.17,0,7.9,71.73,0,542,53,67,33,60,35,67,33,70,Poornam Infovision/Capgemini
90.72,69,0,7,62.59,0,325,24,33,13,27,0,40,0,0,None
81.7,80.33,0,7.1,63.62,0,545,58,67,40,67,25,60,10,78,PlanetSpark
73.28,69.33,0,4.8,40.72,0,372,33,40,20,40,15,33,0,0,None
77.92,72.66,0,6.6,58.43,0,515,56,60,47,60,40,47,8,48,HPI/PlanetSpark
88.8,82,0,7.2,64.08,0,532,60,73,40,67,25,13,0,60,Phable Care/Evosys
91.84,75.33,0,8,72.89,0,494,44,60,33,40,35,47,10,74,Infosys Ltd.
71.04,60.5,0,6,52.96,0,444,42,27,20,80,30,53,0,0,None
94.88,85.6,0,8.2,74.04,0,500,44,33,40,60,25,27,28,75, iWave Systems Technologies Pvt. Ltd/TCS Ltd.
79,59.33,0,4.4,36.13,3,376,31,53,13,27,25,27,0,63,None
64.96,68,0,6.9,61.15,0,415,36,20,33,53,20,0,0,0,None
80,70,0,5.3,45.67,0,459,42,40,20,67,0,40,0,60,None
82.4,68,0,7.1,63.74,0,496,49,47,33,67,45,60,0,52,Verzeo/Dxc Technologies
86,74,0,6.7,59.47,0,568,60,73,27,80,45,80,10,88,None
90.8,77,0,7.9,71.88,0,482,42,33,47,47,0,53,10,85,Infosys Ltd.
87.36,84,0,8.3,75.58,0,574,64,53,67,73,50,47,33,72,Poornam Infovision/Techmahindra/Capgemini
84,74,0,7.5,67.52,0,438,36,40,20,47,5,33,0,43,None
77.9,74,0,6.7,59.75,0,502,49,67,27,53,20,67,31,46,TCS Ltd.
81.76,78,0,7.21,64.6,0,396,33,53,25,27,35,27,0,0,Capgemini
60,50,0,6.52,57.7,0,315,18,20,70,27,20,13,0,8,None
96.96,84,0,8.64,78.9,0,532,51,53,33,67,55,33,45,53,TCS Ltd./Wipro Ltd./Onward Technologies
91.5,77,0,7.48,67.3,0,523,56,60,40,67,35,60,0,66,Infosys Ltd.
84.64,75,0,8.18,74.3,0,456,40,60,0,60,25,33,0,49,Healthians/Capgemini/Accord Software & Systems Pvt Ltd
90.4,82.16,0,7.34,65.9,0,442,36,53,13,40,35,40,0,62,Karmic Design
85.28,75.67,0,6.05,53,1,512,56,80,33,53,40,40,0,53,Elcamino Software/Amazon
82.72,0.8,0,8.38,76.3,0,514,53,67,33,60,20,60,0,53,Wipro Ltd./Hexaware
66.72,57.16,0,6.98,62.3,0,487,51,60,27,67,30,53,0,42,Karmic Design/RL Institute of Nautical Science/Onward Technologies
81.56,77,0,6.51,57.6,0,462,42,33,40,53,30,47,0,45,Healthians
89.76,83.5,0,7.2,64.5,0,270,29,53,13,20,25,0,0,0,None
69.92,53.5,0,6.04,52.9,2,410,36,33,27,47,30,33,0,46,Elcamino Software
80,68,0,6.3,55.5,0,433,33,27,40,33,50,33,0,55,Wipro Ltd.
89.5,77,0,6.78,60.3,0,488,49,60,20,67,40,40,0,37,None
78,50,6,52.5,4,0,327,18,20,13,20,20,33,0,0,None
61,65,80,7.66,69.1,0,374,31,13,27,53,25,27,0,82,None
53.28,0.52,6.21,54.6,1,0,420,38,53,33,27,40,27,0,61,Elcamino Software
83.36,0,65.15,7.93,71.8,0,431,36,40,27,40,30,27,0,33,Karmic Design/RL Institute of Nautical Science
71.68,0,77.25,7.39,66.4,0,359,24,20,13,40,30,33,0,41,Healthians/Skolar/Kusters Engineering India
