10th(%),12th(%),Diploma Marks ,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
86.72,84.83,0,7.65,69,0,379,22,33,0,33,50,80,3,40,Wipro Ltd./Poornam Infovision Pvt. Ltd./Ernst & Young/Capgemini
69,72,0,7.24,64.9,0,470,47,40,33,67,25,27,0,45,Wipro Ltd.
86.56,70,0,6.36,56.1,0,351,27,33,27,20,20,53,0,25,None
71,59.83,0,6.75,60,0,357,24,27,27,20,35,40,0,32,None
86.4,79.6,0,7.03,62.8,0,472,44,60,27,47,20,0,0,0,SSI People/Intellipaat Software Solutions
92,92,0,8,72.5,0,539,53,67,20,73,50,47,24,54,Winwire Technologies Pvt. Ltd./Ernst & Young/Wipfli
76.96,73.16,0,6.61,58.6,1,364,29,20,20,47,30,33,0,41,None
87,68,0,6.1,53.5,2,393,27,40,20,20,35,53,0,49,None
73.76,67.33,0,6.2,54.5,2,341,24,40,7,27,35,27,0,19,None
69.82,75,0,6.25,55,0,349,33,27,40,33,0,33,0,13,Capgemini
86.83,88,0,8.84,80.9,0,584,58,67,47,60,50,53,96,57,iWave Systems Technologies/Sonata Software Pvt. Ltd./Ernst & Young/Capgemini/Park Controls and Communications/Karmic Design
73.92,69.83,0,6.1,53.5,0,352,24,13,33,27,35,27,0,32,None
91.84,86.16,0,8.02,72.7,0,520,53,67,40,53,60,40,10,37,TCS Ltd./Ernst & Young/Wipfli India/Karmic Design
95.04,84,0,8.04,72.9,0,474,40,40,33,47,45,60,0,74,iWave Systems Technologies
83.68,68,0,5.5,47.5,3,308,27,20,27,33,30,20,0,10,None
97.76,93.5,0,9,82.5,0,599,73,80,67,73,65,67,0,68,Wipro Ltd./RL Institute of Nautical Science
85,73,0,6.79,60.4,0,484,49,33,47,67,25,53,10,24,TCS Ltd.
90,83,0,6.7,59.5,0,436,31,40,33,20,35,47,0,30,RL Institute of Nautical Science
8.6,72.8,0,8.56,78.1,0,523,58,60,47,67,60,53,0,33,Ernst & Young
9.6,86.5,0,7.8,70.5,0,529,49,67,27,53,45,47,45,80,TCS Ltd./iWave Systems Technologies/Wipro Ltd.
76.16,62.2,0,6.5,57.5,1,439,40,33,27,60,45,27,0,33,Elcamino Software/Amazon/Pinclick
95,78,0,6.43,56.8,0,499,49,67,20,60,25,53,0,33,None
91,83,0,6.45,57,0,359,22,0,0,67,0,40,0,27,None
74.8,73,0,6.3,55,0,466,42,53,33,40,50,60,3,71,None
93.44,89,0,8.26,75.1,0,581,67,8,33,87,55,73,35,34,Sonata Software Pvt.ltd/Harman
81.12,82,0,7.1,63.5,0,451,38,53,20,40,35,40,0,48,None
88,76,0,7.5,65,0,358,20,7,13,40,20,33,0,37,Skolar/Wipro Ltd.
77,72,0,7.02,62.7,0,433,38,47,27,40,35,0,0,0,None
76,63,0,6.8,60.5,0,332,22,27,27,13,0,7,0,8,None
94.4,75.83,0,7.86,71.1,0,441,36,47,13,47,50,47,0,36,Wipro Ltd./Capgemini
89.44,83.16,0,8.02,72.7,0,469,40,67,13,40,30,53,0,53,Ernst & Young/ Capgemini
87.84,81,0,6.95,62,0,454,40,53,20,47,0,27,0,37,None
81,80,0,6.75,60,0,372,29,53,7,27,35,33,0,43,Skolar
86.72,70.5,0,6.64,58.8,1,432,38,33,40,40,20,53,0,22,Intellipaat Software Solutions
85.28,59,0,6.8,60.5,0,499,53,60,47,53,55,40,0,44,HashedIn by Deloitte
93.44,77.83,0,8.07,73.2,0,509,49,53,27,67,30,20,0,49,Wipro Ltd./BNP Paribas
98,84,0,7.16,64.1,0,491,49,47,40,60,0,40,0,32,Skolar/Infosys Ltd./ Harman connected services
86,67,0,6.3,55.5,0,513,51,67,40,47,300,20,35,74,Wipro Ltd./Infosys Ltd./Harman connected service
85.12,79.5,0,7.79,70.4,0,553,58,53,60,60,0,60,20,41,Wipro Ltd./Poornam infovision Pvt.Ltd./Infosys
70,58.5,0,6.8,60.5,6,453,47,40,40,60,0,27,60,40,CSS Corp
74.08,72.5,0,6.01,52.6,0,452,42,53,33,40,35,40,0,55,Wipro Ltd./Capgemini
82,89,0,8.07,73.2,0,445,36,47,13,47,45,33,0,32,Wipro Ltd.
93.6,82.16,0,7.38,66.3,0,542,58,67,33,73,25,33,35,55,TCS Ltd.
90.88,76.66,0,6.8,60.5,0,358,20,40,20,0,0,0,0,0,None
76.8,68.83,0,6.5,57.5,0,458,47,40,33,67,20,0,0,24,Wipro Ltd.
82,70,0,7,62.5,0,370,29,40,27,20,0,67,0,37,Capgemini
79.2,72.5,0,6.54,57.9,0,395,31,27,33,33,30,33,0,33,None
94,78,0,6.28,55.3,0,434,36,53,7,47,15,20,0,71,Infosys Ltd./ Huron Eurasia India Pvt. Ltd.
96.32,88,0,8.07,73.2,0,473,42,40,33,53,35,47,0,40,Poornam Infovision/Skolar/Hexaware Technologies
90.2,78.9,0,7.93,71.8,0,503,49,60,20,67,50,47,0,73,Glow Touch Technologies
90,96.7,0,7.6,68.5,0,484,42,60,13,53,20,53,14,41,Poornam Infovision Pvt. Ltd./Infosys Ltd./Sonata Software
80.64,68,0,6.33,55.8,0,343,29,40,13,33,30,27,0,31,None
93.6,80.33,0,8.25,75,0,505,49,73,7,67,30,70,0,49,TCS Ltd./Infosys Ltd./Ernst & Young
87.2,75,0,6.9,61.5,0,449,38,60,13,40,35,20,0,50,7 edge
89.44,85.2,0,7,62.5,0,544,53,60,53,47,50,60,68,47,iWave Systems Technologies/Wipro Ltd./Wipfli  India
88,75,0,6.18,54.3,0,442,38,53,13,47,35,27,0,41,None
90.08,70,0,7.28,65.3,0,444,38,53,20,40,45,60,35,0,TCS Ltd./Infosys Ltd.
66.65,59.33,0,6.5,57.5,0,427,40,40,33,47,20,27,0,17,None
82.88,73.5,0,6.42,56.7,0,464,49,33,53,60,0,0,0,0,None
84,86.17,0,7.6,68.5,0,493,51,67,33,53,0,40,0,37,iWave Systems Technologies/TCS Ltd./Infosys Ltd./Wipfli India
72.16,66.16,0,6.3,55.5,0,479,51,53,47,53,0,47,0,49,Harman Connected Services/Wipro Ltd.
82.24,68.83,0,6.51,57.6,0,472,56,47,40,80,0,27,0,0,Skolar/Upskillz
96.48,86.5,0,7.51,67.6,0,485,42,47,40,40,50,47,0,78,Maveric Systems/Ernst & Young/Skolar
90,73,0,6.65,59,0,529,60,73,33,73,30,53,0,59,TCS Ltd./Infosys Ltd./Capgemini
90,91.6,0,7.43,66.8,0,546,58,73,27,73,30,20,45,58,TCS Ltd.
81.28,76.66,0,7.08,63.3,0,451,40,53,13,53,35,40,0,33,Codecraft Technologies Pvt. Ltd./Infosys Ltd.
92,84,0,7.1,63.5,0,523,60,80,27,73,40,0,0,0,Wipro Ltd./Winwire Technologies Pvt. Ltd./Ernst & young
88.64,76,0,6.8,60.5,0,457,31,33,20,40,50,47,0,39,Mindtree Ltd./Capgemini
93.76,85.5,0,8.8,80.5,0,542,56,60,40,67,50,40,24,52,iWave Systems Technologies/Wipro Ltd./TCS Ltd.
87.5,75,0,7.17,64.2,0,592,53,80,40,67,45,60,100,62,Mangalore Infotech Solutions/Techmahindra Ltd./Wipro Ltd.
87,86,0,7,62.5,0,537,49,33,33,67,45,47,61,65,None
88,72,0,8.53,77.8,0,572,64,67,47,80,25,73,45,53,Wipro Ltd./Poornam Infovision Pvt. Ltd./Infosys Ltd./Mindtree Ltd.
100,90,0,8.02,72.7,0,587,76,80,67,80,55,67,10,51,Infosys Ltd./Winwire Technologies Pvt. Ltd./Wipro Ltd./Comtas AG/Hexaware Technologies
90.88,87.66,0,7.06,63.1,0,478,47,47,20,73,15,33,0,25,Skolar/Wipfli
88.8,73.5,0,7.1,63.5,0,464,44,40,40,53,35,27,0,26,Codecraft Technologies Pvt. Ltd.
94,80,0,7.55,68,0,535,58,67,33,73,40,40,0,61,NTT Data
89.44,89.83,0,7.93,71.8,0,503,49,60,27,60,30,47,10,40,Atos Syntel
84.32,58,0,6.25,55,0,486,47,60,27,53,40,20,35,61,None
87,78.5,0,7.08,63.3,0,481,44,47,27,60,50,53,0,55,Capgemini
92.96,86.16,0,8.75,80,0,517,47,47,20,73,40,40,45,64,Robosoft Technologies/Wipro Ltd./Infosys Ltd./Capgemini
79,83,0,7,62.5,0,473,87,53,33,47,40,40,45,10,Infosys Ltd.
87.04,60.08,0,7.08,63.3,0,424,36,53,7,47,15,53,0,24,Skolar
92.6,84.6,0,7.33,65.8,0,526,51,73,33,47,60,67,0,71,Infosys Ltd.
80.64,77.33,0,8.15,74,0,494,51,60,53,40,20,27,0,48,Wipro Ltd.
82,74,0,6.8,60.5,0,426,36,33,33,40,15,20,0,29,None
91.52,80.83,0,8.25,75,0,488,42,27,27,73,45,53,0,86,Maveric Systems/Capgemini/Mindtree Ltd.
93.44,82.33,0,7.91,71.6,0,546,56,67,27,73,40,80,38,40,IBM India Pvt. Ltd./iWave Systems Technologies/Techmahindra Ltd./Infosys Ltd./Winwire Technologies Pvt. Ltd./Capgemini
89.83,86.6,0,7.86,71.1,0,458,38,60,27,27,30,40,0,53,UDEAT
88,83,0,7.64,68.9,0,467,47,53,13,73,20,20,0,0,Robosoft Technologies Ltd.
91,72,0,6.8,60.5,0,353,33,40,33,27,0,33,0,50,UDiSn
88,82.5,0,8.3,75.5,0,407,22,27,7,33,35,40,96,43,oCEsT
